[2026-03-28T08:16:18.934Z] [INFO] Checking system dependencies... 
[2026-03-28T08:16:59.221Z] [INFO] Converting BMW-G15-Displays-Controls-Technical-Training-June-2018 (30 pages)... 
[2026-03-28T08:16:59.695Z] [INFO] Converting BMW-G15-Driver-Assistance-Systems-June2018 (44 pages)... 
[2026-03-28T08:17:00.398Z] [INFO] Converting BMW-G15-General-Vehicle-Electronics-Training-Manual-June2018 (86 pages)... 
[2026-03-28T08:17:01.603Z] [INFO] Converting BMW-G15-Infotainment-Technical-Training-June2018 (42 pages)... 
[2026-03-28T08:17:02.192Z] [INFO] Converting BMW-G15-Training-Manual-June2018 (74 pages)... 
[2026-03-28T08:17:03.259Z] [INFO] Converting BMW-G29-GeneralVehicleElectronics-TechnicalTraining-October2018 (48 pages)... 
[2026-03-28T08:17:03.951Z] [INFO] Converting BMW-G30-PHEV-Update-March2019 (30 pages)... 
[2026-03-28T08:17:04.367Z] [INFO] Converting BMW-General-Vehicle-Electronics-2018-Training-Manual (56 pages)... 
[2026-03-28T08:17:05.136Z] [INFO] Converting BMW-Infotainment-2016-Technical-Training-Guide (58 pages)... 
[2026-03-28T08:17:05.942Z] [INFO] Converting BMW-Infotainment-2018-Technical-Training-Manual (78 pages)... 
[2026-03-28T08:17:07.070Z] [INFO] Converting BMW-Model-Identification-Guide-06-08 (82 pages)... 
[2026-03-28T08:17:08.435Z] [INFO] Converting BMW-N47TU-Engine-TechnicalTraining-Manual (122 pages)... 
[2026-03-28T08:17:11.240Z] [INFO] Converting BMW-N57TU-Engine-Technical-Training-Manual (110 pages)... 
[2026-03-28T08:17:13.923Z] [INFO] Converting BMW-N63TU2-Engine-TechnicalTraining-May2015 (134 pages)... 
[2026-03-28T08:17:15.867Z] [INFO] Converting BMW-N63TU3-Engine-TechnicalTraining-July2018 (54 pages)... 
[2026-03-28T08:17:16.624Z] [INFO] Converting BMW-N74TU-Engine-Technical-Training-Manual-June-2016 (84 pages)... 
[2026-03-28T08:17:17.824Z] [INFO] Converting BMW-N74TU2-Engine-Technical-Training-November-2018 (28 pages)... 
[2026-03-28T08:17:18.209Z] [INFO] Converting BMW-RDC-Tool-Technical-Training-Nov2018 (38 pages)... 
[2026-03-28T08:17:18.770Z] [INFO] Converting BMW-S55-Engine-BV-72-Training-Manual-March-2014 (120 pages)... 
[2026-03-28T08:17:20.522Z] [INFO] Converting BMW-S58-Engine-Training-Manual-February-2019 (102 pages)... 
[2026-03-28T08:17:21.957Z] [INFO] Converting BMW-SCR3-US-Training-Manual-Sept2016 (86 pages)... 
[2026-03-28T08:17:23.119Z] [INFO] Converting BMW-SP41-High-Voltage-Battery-Training-March2019 (32 pages)... 
[2026-03-28T08:17:23.566Z] [INFO] Converting BMW-SeriesIdentification-Table-06-08 (52 pages)... 
[2026-03-28T08:17:24.445Z] [INFO] Converting BMW-Service-Displays-Controls-2018-Training-Manual (42 pages)... 
[2026-03-28T08:17:25.037Z] [INFO] Converting BMW-Service-Headunit-High-Manual-March2012 (106 pages)... 
[2026-03-28T08:17:26.603Z] [INFO] Converting BMW-Service-Manual-02-06 (40 pages)... 
[2026-03-28T08:17:27.413Z] [INFO] Converting BMW-Suspension-Systems.qxd (40 pages)... 
[2026-03-28T08:17:28.159Z] [INFO] Converting BMW-Technician-Manual-v2.06 (40 pages)... 
[2026-03-28T08:17:28.905Z] [INFO] Converting BMW-X3-2018-Technical-Specifications (60 pages)... 
[2026-03-28T08:17:30.129Z] [INFO] Converting BWM-B58TU-Engine-TechnicalTraining-July2018 (40 pages)... 
[2026-03-28T08:17:30.708Z] [INFO] Converting BWM-F80F82-Complete-Vehicle-Technical-Training-March2014 (114 pages)... 
[2026-03-28T08:17:32.376Z] [INFO] Converting Basic-DiagnosticCertification-BDC (4 pages)... 
[2026-03-28T08:17:32.456Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd (36 pages)... 
[2026-03-28T08:17:32.989Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1 (30 pages)... 
[2026-03-28T08:17:33.572Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2 (8 pages)... 
[2026-03-28T08:17:33.744Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2_3 (48 pages)... 
[2026-03-28T08:17:34.682Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2_3_4 (134 pages)... 
[2026-03-28T08:17:36.716Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2_3_4_5 (78 pages)... 
[2026-03-28T08:17:37.917Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2_3_4_5_6 (62 pages)... 
[2026-03-28T08:17:39.276Z] [INFO] Converting Basic-Measuring-Techniques-New-07-01-Basic-Measuring-Techniques.qxd_1_2_3_4_5_6_7 (50 pages)... 
[2026-03-28T08:17:40.170Z] [INFO] Converting Basic-Suspension-Geometry.qxd (19 pages)... 
[2026-03-28T08:17:40.459Z] [INFO] Converting Byteflight-Safety-Systems.qxd (111 pages)... 
[2026-03-28T08:17:42.073Z] [INFO] Converting CompleteVehicleG05TrainingManual-BMWNA-2018 (1 pages)... 
[2026-03-28T08:17:42.110Z] [INFO] Converting E60-M5-E64-M6-Automatic-Soft-Close-Function-Guide (9 pages)... 
[2026-03-28T08:17:42.297Z] [INFO] Converting E90-Climate-Control.qxd (27 pages)... 
[2026-03-28T08:17:42.683Z] [INFO] Converting E90-Dynamic-Driving-Systems.qxd (55 pages)... 
[2026-03-28T08:17:43.392Z] [INFO] Converting E90-Entertain-and-Communication.qxd (41 pages)... 
[2026-03-28T08:17:44.042Z] [INFO] Converting E90-Multiple-Restraint-System-5.qxd (22 pages)... 
[2026-03-28T08:17:44.355Z] [INFO] Converting E90-Powertrain.qxd (18 pages)... 
[2026-03-28T08:17:44.637Z] [INFO] Converting E90-Suspension--Chassis.qxd (17 pages)... 
[2026-03-28T08:17:44.872Z] [INFO] Converting E90-Voltage-Supply-and-Bus.qxd (46 pages)... 
[2026-03-28T08:17:45.586Z] [INFO] Converting E9x-3-Series-(non-M)-Wheel--Tire-Fitment-Guide--APEX-Race-Parts (9 pages)... 
[2026-03-28T08:17:45.747Z] [INFO] Converting EE-Overview (26 pages)... 
[2026-03-28T08:17:46.278Z] [INFO] Converting EE-Overview_1 (44 pages)... 
[2026-03-28T08:17:47.027Z] [INFO] Converting EE-Overview_1_2 (74 pages)... 
[2026-03-28T08:17:48.584Z] [INFO] Converting EE-Overview_1_2_3 (44 pages)... 
[2026-03-28T08:17:49.890Z] [INFO] Converting EE-Overview_1_2_3_4 (62 pages)... 
[2026-03-28T08:17:51.244Z] [INFO] Converting EE-Overview_1_2_3_4_5 (66 pages)... 
[2026-03-28T08:17:52.596Z] [INFO] Converting EE-Overview_1_2_3_4_5_6 (34 pages)... 
[2026-03-28T08:17:53.333Z] [INFO] Converting EE-Overview_1_2_3_4_5_6_7 (18 pages)... 
[2026-03-28T08:17:53.823Z] [INFO] Converting EE-Overview_1_2_3_4_5_6_7_8 (58 pages)... 
[2026-03-28T08:17:54.938Z] [INFO] Converting EE-Overview_1_2_3_4_5_6_7_8_9 (18 pages)... 
[2026-03-28T08:17:55.269Z] [INFO] Converting EE-Overview_1_2_3_4_5_6_7_8_9_10 (12 pages)... 
[2026-03-28T08:17:55.496Z] [INFO] Converting Engine-Diagnosis.qxd (37 pages)... 
[2026-03-28T08:17:56.216Z] [INFO] Converting F01H-F02H-Complete-Vehicle.pdf (24 pages)... 
[2026-03-28T08:17:56.575Z] [INFO] Converting F04-Complete-Vehicle-Technical-Training-Manual-v2010 (130 pages)... 
[2026-03-28T08:17:58.594Z] [INFO] Converting F07-Complete-Vehicle (124 pages)... 
[2026-03-28T08:18:00.733Z] [INFO] Converting F07-Complete-Vehicle_1_2 (124 pages)... 
[2026-03-28T08:18:02.850Z] [INFO] Converting F10H-Complete-Vehicle.pdf (166 pages)... 
[2026-03-28T08:18:04.934Z] [ERROR] Failed to process F10H-Complete-Vehicle.pdf.pdf: Invalid count value: -1 
[2026-03-28T08:18:04.957Z] [INFO] Converting F30-PHEV-HV-Battery-Unit (72 pages)... 
[2026-03-28T08:18:05.974Z] [INFO] Converting F30-PHEV-HV-Components (198 pages)... 
[2026-03-28T08:18:08.163Z] [ERROR] Failed to process F30-PHEV-HV-Components.pdf: Invalid count value: -1 
[2026-03-28T08:18:08.187Z] [INFO] Converting F30H-Complete-Vehicle.pdf (106 pages)... 
[2026-03-28T08:18:09.775Z] [INFO] Converting F48-Chassis-and-Suspension (42 pages)... 
[2026-03-28T08:18:10.359Z] [INFO] Converting F48-Displays-and-Controls (22 pages)... 
[2026-03-28T08:18:10.695Z] [INFO] Converting F48-Driver-Assistance-Systems (48 pages)... 
[2026-03-28T08:18:11.371Z] [INFO] Converting F48-General-Vehicle-Electronics (80 pages)... 
[2026-03-28T08:18:12.550Z] [INFO] Converting F48-Information-and-Communication (36 pages)... 
